ID,Edad,Salario,Departamento,Puntaje_Desempeño
1,56,28392,RRHH,4.744619096643124
2,46,50535,Marketing,3.784119186699892
3,32,98603,Marketing,3.28024468035746
4,25,72256,Ventas,1.388705975083074
5,38,55222,Ventas,3.460028906796679
6,56,97373,IT,4.960215400417053
7,36,99575,Ventas,1.560336060946096
8,40,83335,RRHH,3.073318609454947
9,28,30965,Marketing,4.509492287711822
10,28,44538,Ventas,3.963074471016818
11,41,90592,Ventas,3.788062963981072
12,53,28110,IT,3.809936335948437
13,57,99309,IT,2.437964604879021
14,41,47266,RRHH,2.174367377057973
15,20,72992,Marketing,4.237444621914054
16,39,26910,IT,4.240453578716723
17,19,20206,Ventas,4.468289274320415
18,41,43419,Marketing,4.652962210225885
19,47,70636,Marketing,3.045369595443751
20,55,70015,Ventas,3.006065178748798
21,19,74268,IT,4.193180715867101
22,38,38141,Ventas,3.599855723111061
23,50,91910,Marketing,3.807867509030813
24,29,76044,Finanzas,4.183170677744404
25,39,87214,Finanzas,4.560021367270265
26,42,53827,RRHH,2.351980627406143
27,44,75820,Ventas,2.502331810559776
28,59,82623,Ventas,1.375927759363476
29,45,95450,RRHH,3.313120563984696
30,33,42299,RRHH,1.143769095186968
31,32,63585,RRHH,2.862392072529841
32,20,84044,Marketing,3.170578538830306
33,54,62557,Ventas,2.146165008513138
34,24,69080,Marketing,3.363333042276043
35,38,22693,RRHH,1.122000999756198
36,26,89163,Ventas,1.149392754996858
37,56,45939,Marketing,4.290402242638633
38,35,68925,Marketing,2.440762565645052
39,21,62941,RRHH,1.508242050607539
40,42,41834,Ventas,3.088973040219217
41,31,38047,RRHH,4.079974212394443
42,26,46105,Ventas,1.863284109987373
43,43,95766,Finanzas,3.491561903276001
44,19,35707,IT,1.341389859975072
45,37,41976,IT,1.206726884674431
46,45,64262,IT,3.125418526272592
47,24,43776,RRHH,3.162540486440426
48,25,50080,Finanzas,3.549719605992826
49,52,86842,Ventas,3.904365334890646
50,31,81373,Marketing,4.903408317850138
51,34,26776,Ventas,3.065201393204781
52,53,75016,Marketing,2.291825891764984
53,57,29474,Ventas,4.180744779074814
54,21,78053,Finanzas,2.083329005048297
55,19,41959,Marketing,2.755885682822544
56,23,25530,RRHH,1.313825525369064
57,59,23748,Ventas,1.10140297366183
58,21,33545,Ventas,4.8505936587117
59,46,86199,Marketing,4.343920482048823
60,35,54766,RRHH,3.783896824374792
61,43,93530,RRHH,2.63581177765708
62,51,81087,Finanzas,1.693177280283383
63,27,88840,RRHH,1.625748170684344
64,53,74384,RRHH,2.000971592658381
65,31,71005,RRHH,3.196906658824482
66,48,66576,IT,3.858383690800249
67,32,59353,Finanzas,3.640789506870925
68,25,82003,Ventas,2.119735587783771
69,31,72733,Marketing,4.819461122652776
70,40,85318,Ventas,3.951587666783074
71,57,43664,Finanzas,3.217416210045603
72,38,87172,Marketing,3.446882984937409
73,33,46736,Finanzas,2.67840024971116
74,35,20854,RRHH,1.99092395800463
75,41,58623,Marketing,2.423890714605046
76,43,27392,RRHH,4.031384441857476
77,42,75680,Ventas,1.057573954519023
78,58,66717,Ventas,1.464290562027665
79,46,70859,Marketing,1.184010568087011
80,32,46309,Marketing,1.162915209275881
81,18,83734,Finanzas,4.421842336044029
82,42,90467,Finanzas,3.814631437520095
83,24,72662,RRHH,2.896695316349301
84,26,32688,Marketing,1.391336642604006
85,41,45342,Ventas,2.966463500467329
86,18,57157,Finanzas,2.893887083122263
87,25,87863,Finanzas,1.692807479640061
88,41,72083,Ventas,2.735406596951892
89,28,85733,Finanzas,2.594018937589494
90,34,54698,RRHH,3.463400392208866
91,25,42671,Marketing,3.540374603470575
92,52,45184,Ventas,1.181216039088178
93,52,62107,Marketing,2.498450458505885
94,50,71663,Finanzas,3.503439662856946
95,22,35708,Finanzas,3.012545034320351
96,59,69811,Ventas,4.42595936475329
97,56,22811,RRHH,3.63477452647578
98,58,76250,IT,1.651737708325719
99,45,92082,Ventas,1.282274989601719
100,24,54754,IT,3.569677112825262
